year,race,sex,average_life_expectancy,mortality
12:00,All Races,Both Sexes,47.3,2518
12:10,All Races,Both Sexes,49.1,2473.1
12:20,All Races,Both Sexes,51.5,2301.3
12:30,All Races,Both Sexes,50.5,2379
12:30,All Races,Both Sexes,47.6,2502.5
12:50,All Races,Both Sexes,48.7,2423.7
1:00,All Races,Both Sexes,48.7,2399
1:10,All Races,Both Sexes,47.6,2494.4
1:20,All Races,Both Sexes,51.1,2298.9
1:30,All Races,Both Sexes,52.1,2249.2
1:40,All Races,Both Sexes,50,2317.2
1:50,All Races,Both Sexes,52.6,2245.4
2:00,All Races,Both Sexes,53.5,2211.7
2:10,All Races,Both Sexes,52.5,2206.5
2:20,All Races,Both Sexes,54.2,2149.3
2:30,All Races,Both Sexes,54.5,2174.8
2:40,All Races,Both Sexes,51.7,2266.6
2:50,All Races,Both Sexes,50.9,2275.9
3:00,All Races,Both Sexes,39.1,2541.6
3:10,All Races,Both Sexes,54.7,2057.2
3:20,All Races,Both Sexes,54.1,2147.1
3:30,All Races,Both Sexes,59.7,05:30.8
3:40,All Races,Both Sexes,61.1,1895.1
3:50,All Races,Both Sexes,62.1,1897.1
1933,All Races,Both Sexes,63.3,1850.1
4:00,All Races,Both Sexes,61.1,1888.2
4:10,All Races,Both Sexes,61.7,1860.1
4:20,All Races,Both Sexes,58.5,08:50.7
4:30,All Races,Both Sexes,60,1882.6
4:40,All Races,Both Sexes,63.5,1764.3
4:50,All Races,Both Sexes,63.7,1766.9
5:00,All Races,Both Sexes,62.9,1785
5:10,All Races,Both Sexes,64.8,1694.6
5:20,All Races,Both Sexes,66.2,1635.8
5:30,All Races,Both Sexes,63.3,1702.4
5:40,All Races,Both Sexes,65.2,1618.5
5:50,All Races,Both Sexes,65.9,1575.4
6:00,All Races,Both Sexes,66.7,1529.7
6:10,All Races,Both Sexes,66.8,1532
6:20,All Races,Both Sexes,67.2,1501.7
6:30,All Races,Both Sexes,68,1457.3
6:40,All Races,Both Sexes,68.2,1446
6:50,All Races,Both Sexes,68.4,1423.5
7:00,All Races,Both Sexes,68.6,1394.6
7:10,All Races,Both Sexes,68.8,1385.6
7:20,All Races,Both Sexes,69.6,1314.8
7:30,All Races,Both Sexes,69.6,1332.3
7:40,All Races,Both Sexes,69.7,1333.7
7:50,All Races,Both Sexes,69.5,1356.7
8:00,All Races,Both Sexes,69.6,1343.4
8:10,All Races,Both Sexes,69.9,1317.3
8:20,All Races,Both Sexes,69.7,1339.2
8:30,All Races,Both Sexes,70.2,1298.8
8:40,All Races,Both Sexes,70.1,1323.6
8:50,All Races,Both Sexes,69.9,1346.3
9:00,All Races,Both Sexes,70.2,1303.8
9:10,All Races,Both Sexes,70.2,1306.5
9:20,All Races,Both Sexes,70.2,1309
9:30,All Races,Both Sexes,70.5,1274
9:40,All Races,Both Sexes,70.2,1304.5
9:50,All Races,Both Sexes,70.5,1271.8
10:00,All Races,Both Sexes,70.8,1222.6
10:10,All Races,Both Sexes,71.1,1213.1
10:20,All Races,Both Sexes,71.2,1214.8
10:30,All Races,Both Sexes,71.4,1201.2
10:40,All Races,Both Sexes,72,1151.8
10:50,All Races,Both Sexes,72.6,1094.4
11:00,All Races,Both Sexes,72.9,1084.1
11:10,All Races,Both Sexes,73.3,1051.6
11:20,All Races,Both Sexes,73.5,1043.7
11:30,All Races,Both Sexes,73.9,1010.6
11:40,All Races,Both Sexes,73.7,1038.7
11:40,All Races,Both Sexes,74.1,1007
11:50,All Races,Both Sexes,74.5,984.9
12:50,All Races,Both Sexes,74.6,990
13:00,All Races,Both Sexes,74.7,982.1
13:10,All Races,Both Sexes,74.7,987.8
13:20,All Races,Both Sexes,74.7,978.4
13:30,All Races,Both Sexes,74.9,969.6
13:40,All Races,Both Sexes,74.9,975.1
13:50,All Races,Both Sexes,75.1,949.9
14:00,All Races,Both Sexes,75.4,938
14:10,All Races,Both Sexes,75.5,921.9
14:20,All Races,Both Sexes,75.8,905.3
14:30,All Races,Both Sexes,75.5,925.8
14:40,All Races,Both Sexes,75.7,913.2
14:50,All Races,Both Sexes,75.8,909.5
15:00,All Races,Both Sexes,76.1,893.7
15:10,All Races,Both Sexes,76.5,877.7
15:20,All Races,Both Sexes,76.7,870.1
15:30,All Races,Both Sexes,76.7,875.6
15:40,All Races,Both Sexes,76.8,869
15:50,All Races,Both Sexes,77,858.8
16:00,All Races,Both Sexes,77,855.9
16:10,All Races,Both Sexes,77.6,843.5
16:20,All Races,Both Sexes,77.5,813.7
16:30,All Races,Both Sexes,77.6,815
16:40,All Races,Both Sexes,77.8,791.8
16:50,All Races,Both Sexes,78.1,775.3
17:00,All Races,Both Sexes,78.2,774.9
17:10,All Races,Both Sexes,78.5,749.6
17:20,All Races,Both Sexes,78.7,747
17:30,All Races,Both Sexes,78.7,741.3
17:40,All Races,Both Sexes,78.8,732.8
17:50,All Races,Both Sexes,78.8,731.9
18:00,All Races,Both Sexes,78.9,724.6
18:10,All Races,Both Sexes,78.7,733.1
18:40,All Races,Both Sexes,78.7,728.8
19:20,All Races,Both Sexes,78.6,731.9
20:00,All Races,Both Sexes,78.7,723.6
12:00,All Races,Female,48.3,2410.4
12:10,All Races,Female,50.6,2350.5
12:20,All Races,Female,53.4,2162.8
12:30,All Races,Female,52,2250.6
12:30,All Races,Female,49.1,2358.8
12:50,All Races,Female,50.2,2287.7
1:00,All Races,Female,50.8,2244.6
1:10,All Races,Female,49.9,2327.3
1:20,All Races,Female,52.8,2162.3
1:30,All Races,Female,53.8,2111.5
1:40,All Races,Female,51.8,2171.3
1:50,All Races,Female,54.4,2112.1
2:00,All Races,Female,55.9,2067.2
2:10,All Races,Female,55,2058.1
2:20,All Races,Female,56.8,17:10
2:30,All Races,Female,56.8,2044.3
2:40,All Races,Female,54.3,2123.3
2:50,All Races,Female,54,2119.9
3:00,All Races,Female,42.2,2342.8
3:10,All Races,Female,56,10:30.1
3:20,All Races,Female,54.6,2081.3
3:30,All Races,Female,61.6,1798.3
3:40,All Races,Female,63.1,1743.6
3:50,All Races,Female,63.5,1758.4
1933,All Races,Female,65.1,1699.1
4:00,All Races,Female,63.3,1720.7
4:10,All Races,Female,63.9,1690.6
4:20,All Races,Female,60.6,1780.6
4:30,All Races,Female,62.4,1695.1
4:40,All Races,Female,65.3,1599.1
4:50,All Races,Female,65.4,1599.8
5:00,All Races,Female,65.2,1599.4
5:10,All Races,Female,66.8,1502.4
5:20,All Races,Female,67.9,1444.7
5:30,All Races,Female,64.4,1507.8
5:40,All Races,Female,66.8,1428.4
5:50,All Races,Female,67.9,1376.8
6:00,All Races,Female,69.4,1342.8
6:10,All Races,Female,69.7,1332.5
6:20,All Races,Female,69.9,1296.4
6:30,All Races,Female,70.7,1252.6
6:40,All Races,Female,71.1,1236
6:50,All Races,Female,71.4,1213.4
7:00,All Races,Female,71.6,1186.7
7:10,All Races,Female,72,1172.6
7:20,All Races,Female,72.8,1109.7
7:30,All Races,Female,72.8,1121.9
7:40,All Races,Female,72.9,1117.5
7:50,All Races,Female,72.7,1134.5
8:00,All Races,Female,72.9,1120.9
8:10,All Races,Female,73.2,1093.5
8:20,All Races,Female,73.1,1105.3
8:30,All Races,Female,73.6,1068.5
8:40,All Races,Female,73.5,1087.1
8:50,All Races,Female,73.4,1098.5
9:00,All Races,Female,73.7,1061.5
9:10,All Races,Female,73.8,1056.1
9:20,All Races,Female,73.9,1055.3
9:30,All Races,Female,74.3,1020.5
9:40,All Races,Female,74.1,1043.5
9:50,All Races,Female,74.4,1013.4
10:00,All Races,Female,74.7,971.4
10:10,All Races,Female,75,960.6
10:20,All Races,Female,75.1,958.7
10:30,All Races,Female,75.3,947.8
10:40,All Races,Female,75.9,907.5
10:50,All Races,Female,76.6,855.1
11:00,All Races,Female,76.8,849.4
11:10,All Races,Female,77.2,820.7
11:20,All Races,Female,77.3,816.4
11:30,All Races,Female,77.8,789.9
11:40,All Races,Female,77.4,817.7
11:40,All Races,Female,77.8,792.7
11:50,All Races,Female,78.1,776.4
12:50,All Races,Female,78.1,783.3
13:00,All Races,Female,78.2,779.4
13:10,All Races,Female,78.2,784.2
13:20,All Races,Female,78.2,778.5
13:30,All Races,Female,78.3,773.8
13:40,All Races,Female,78.3,780.5
13:50,All Races,Female,78.5,761.3
14:00,All Races,Female,78.8,750.3
14:10,All Races,Female,78.9,737.9
14:20,All Races,Female,79.1,725.3
14:30,All Races,Female,78.8,745.6
14:40,All Races,Female,79,738.3
14:50,All Races,Female,78.9,739.2
15:00,All Races,Female,79.1,732.7
15:10,All Races,Female,79.4,725.3
15:20,All Races,Female,79.5,724.2
15:30,All Races,Female,79.4,734
15:40,All Races,Female,79.7,731.4
15:50,All Races,Female,79.5,725.6
16:00,All Races,Female,79.6,723.6
16:10,All Races,Female,79.7,715.2
16:20,All Races,Female,80.1,690.5
16:30,All Races,Female,80.1,692.3
16:40,All Races,Female,80.3,672.2
16:50,All Races,Female,80.6,658.1
17:00,All Races,Female,80.6,660
17:10,All Races,Female,80.9,636.8
17:20,All Races,Female,81,634.9
17:30,All Races,Female,81.1,632.4
17:40,All Races,Female,81.2,624.7
17:50,All Races,Female,81.2,623.5
18:00,All Races,Female,81.3,616.7
